0.000000000000000000e+00 4.929999999999999938e-01 5.210000000000000187e-01
1.499999999999999822e+01 5.100000000000000089e-01 4.979999999999999982e-01
2.999999999999999645e+01 5.120000000000000107e-01 4.989999999999999991e-01
4.500000000000000000e+01 5.100000000000000089e-01 5.050000000000000044e-01
5.999999999999999289e+01 4.789999999999999813e-01 4.949999999999999956e-01
7.499999999999998579e+01 4.909999999999999920e-01 4.809999999999999831e-01
9.000000000000000000e+01 5.220000000000000195e-01 5.070000000000000062e-01
1.049999999999999858e+02 4.590000000000000191e-01 5.000000000000000000e-01
1.199999999999999858e+02 5.270000000000000240e-01 5.020000000000000018e-01
1.350000000000000000e+02 4.869999999999999885e-01 4.879999999999999893e-01
1.499999999999999716e+02 5.170000000000000151e-01 4.959999999999999964e-01
1.649999999999999716e+02 5.070000000000000062e-01 4.630000000000000226e-01
1.800000000000000000e+02 5.070000000000000062e-01 4.829999999999999849e-01
1.950000000000000000e+02 5.040000000000000036e-01 4.839999999999999858e-01
2.099999999999999716e+02 4.899999999999999911e-01 5.010000000000000009e-01
2.249999999999999716e+02 5.160000000000000142e-01 5.220000000000000195e-01
2.399999999999999716e+02 5.100000000000000089e-01 5.120000000000000107e-01
2.549999999999999716e+02 4.989999999999999991e-01 5.100000000000000089e-01
2.700000000000000000e+02 4.500000000000000111e-01 5.150000000000000133e-01
2.850000000000000000e+02 4.739999999999999769e-01 5.080000000000000071e-01
2.999999999999999432e+02 5.310000000000000275e-01 5.250000000000000222e-01
3.150000000000000000e+02 5.000000000000000000e-01 5.010000000000000009e-01
3.299999999999999432e+02 5.040000000000000036e-01 4.949999999999999956e-01
3.449999999999999432e+02 5.010000000000000009e-01 4.989999999999999991e-01
3.600000000000000000e+02 4.989999999999999991e-01 4.709999999999999742e-01
