0.000000000000000000e+00 5.799999999999999600e-01 4.874999999999999889e-01
2.999999999999999645e+01 6.049999999999999822e-01 5.050000000000000044e-01
5.999999999999999289e+01 5.550000000000000488e-01 4.500000000000000111e-01
9.000000000000000000e+01 5.324999999999999734e-01 3.499999999999999778e-01
1.199999999999999858e+02 5.200000000000000178e-01 3.549999999999999822e-01
1.499999999999999716e+02 4.249999999999999889e-01 4.025000000000000244e-01
1.800000000000000000e+02 4.724999999999999756e-01 4.199999999999999845e-01
2.099999999999999716e+02 4.849999999999999867e-01 4.425000000000000044e-01
2.399999999999999716e+02 5.124999999999999556e-01 5.124999999999999556e-01
2.700000000000000000e+02 5.649999999999999467e-01 5.274999999999999689e-01
2.999999999999999432e+02 4.799999999999999822e-01 5.925000000000000266e-01
3.299999999999999432e+02 5.799999999999999600e-01 5.174999999999999600e-01
3.600000000000000000e+02 6.175000000000000488e-01 4.924999999999999933e-01
