8.120060000000000125e-03 9.365099999999999494e-06 5.045080000000000398e-03 1.041531999999999975e-05
8.120040000000000244e-03 9.548700000000000582e-06 5.053179999999999998e-03 1.042446000000000048e-05
8.110970000000000332e-03 9.726400000000000592e-06 5.041999999999999607e-03 1.042114999999999932e-05
8.103880000000000805e-03 9.898199999999999523e-06 5.039459999999999947e-03 1.041419000000000032e-05
8.096340000000000481e-03 1.007189999999999923e-05 5.027629999999999946e-03 1.042850000000000019e-05
8.093279999999999572e-03 1.071629999999999936e-05 5.027379999999999696e-03 1.041504999999999950e-05
8.087959999999999941e-03 1.090610000000000049e-05 5.019049999999999727e-03 1.041393000000000077e-05
8.094820000000000834e-03 1.104960000000000005e-05 5.026860000000000182e-03 1.042390999999999927e-05
8.080969999999999820e-03 1.113139999999999985e-05 5.015320000000000195e-03 1.041375000000000003e-05
8.075399999999999939e-03 1.131289999999999972e-05 5.016470000000000304e-03 1.041845999999999918e-05
8.072680000000000480e-03 1.145830000000000005e-05 5.009369999999999969e-03 1.041395999999999948e-05
8.079460000000000114e-03 1.165679999999999993e-05 5.010109999999999911e-03 1.041548000000000078e-05
8.080330000000000151e-03 1.179939999999999921e-05 5.007300000000000119e-03 1.041402000000000029e-05
8.076399999999999205e-03 1.218429999999999954e-05 5.012879999999999940e-03 1.041485999999999976e-05
8.079279999999999448e-03 1.235870000000000078e-05 5.015959999999999863e-03 1.042638999999999997e-05
8.083339999999999623e-03 1.253419999999999936e-05 5.016419999999999733e-03 1.041320999999999953e-05
8.081450000000000439e-03 1.077819999999999957e-05 5.019019999999999905e-03 1.042713999999999992e-05
8.077890000000000764e-03 1.095889999999999938e-05 5.012370000000000367e-03 1.041407000000000040e-05
8.084670000000000398e-03 1.113570000000000080e-05 5.017980000000000010e-03 1.042098999999999998e-05
8.079589999999999342e-03 1.130770000000000017e-05 5.013450000000000024e-03 1.041339000000000026e-05
8.088100000000000844e-03 1.146809999999999952e-05 5.018260000000000082e-03 1.042405000000000060e-05
8.077960000000000348e-03 1.211769999999999919e-05 5.010950000000000126e-03 1.041381000000000084e-05
8.076669999999999336e-03 1.230520000000000036e-05 5.013759999999999918e-03 1.042736000000000006e-05
8.077310000000000739e-03 1.246380000000000084e-05 5.010490000000000256e-03 1.041318999999999982e-05
8.072380000000000527e-03 1.252039999999999959e-05 5.005199999999999580e-03 1.041301999999999979e-05
8.075030000000000402e-03 1.271780000000000044e-05 5.012779999999999667e-03 1.041777000000000004e-05
8.080550000000000579e-03 1.286600000000000014e-05 5.006349999999999689e-03 1.041225000000000013e-05
8.073119999999999602e-03 1.306090000000000060e-05 5.010900000000000423e-03 1.042635999999999956e-05
8.073210000000000802e-03 1.322419999999999953e-05 5.006140000000000069e-03 1.041283000000000005e-05
8.074970000000000758e-03 1.359450000000000003e-05 5.012319999999999796e-03 1.042536000000000076e-05
8.079750000000000126e-03 1.376829999999999996e-05 5.012860000000000059e-03 1.041218999999999932e-05
8.072839999999999530e-03 1.392850000000000056e-05 5.008330000000000073e-03 1.041145000000000007e-05
8.075930000000000261e-03 1.215199999999999987e-05 5.014120000000000382e-03 1.042143999999999928e-05
8.082189999999999513e-03 1.233370000000000018e-05 5.015590000000000326e-03 1.040908999999999930e-05
8.075239999999999155e-03 1.250980000000000006e-05 5.015440000000000349e-03 1.042141000000000057e-05
8.078739999999999186e-03 1.268240000000000075e-05 5.012710000000000082e-03 1.040831000000000064e-05
8.075300000000000533e-03 1.283130000000000029e-05 5.008409999999999598e-03 1.040772000000000002e-05
8.074510000000000021e-03 1.349299999999999939e-05 5.015839999999999708e-03 1.041356999999999930e-05
8.083460000000000645e-03 1.367830000000000082e-05 5.015069999999999945e-03 1.041705999999999950e-05
8.079569999999999461e-03 1.383510000000000074e-05 5.006290000000000046e-03 1.040823000000000013e-05
8.078310000000000005e-03 1.390300000000000055e-05 5.014219999999999788e-03 1.041872000000000043e-05
8.078800000000000564e-03 1.409019999999999937e-05 5.015089999999999826e-03 1.040765999999999922e-05
8.085760000000000863e-03 1.425200000000000009e-05 5.015010000000000301e-03 1.042078999999999955e-05
8.087669999999999929e-03 1.442980000000000032e-05 5.018599999999999797e-03 1.040797999999999958e-05
8.082739999999999717e-03 1.459319999999999946e-05 5.020789999999999802e-03 1.041943999999999997e-05
8.090599999999999875e-03 1.496099999999999957e-05 5.021699999999999602e-03 1.040620000000000042e-05
8.095500000000000265e-03 1.513140000000000051e-05 5.022920000000000162e-03 1.041996999999999978e-05
8.084420000000000148e-03 1.531010000000000102e-05 5.022460000000000292e-03 1.040661000000000030e-05
8.090079999999999494e-03 1.355349999999999991e-05 5.016080000000000018e-03 1.041995000000000008e-05
8.080959999999999879e-03 1.373739999999999997e-05 5.015610000000000207e-03 1.040588000000000006e-05
8.080930000000000057e-03 1.391070000000000049e-05 5.015780000000000065e-03 1.041806000000000000e-05
8.080429999999999557e-03 1.409509999999999995e-05 5.007959999999999669e-03 1.040673000000000023e-05
8.084930000000000588e-03 1.424840000000000066e-05 5.014150000000000204e-03 1.041872000000000043e-05
8.081720000000000570e-03 1.489040000000000062e-05 5.020179999999999955e-03 1.040562999999999951e-05
8.082890000000000560e-03 1.508360000000000073e-05 5.020519999999999670e-03 1.041870999999999973e-05
8.104689999999999464e-03 1.523940000000000015e-05 5.037889999999999729e-03 1.040516000000000051e-05
8.103720000000000021e-03 1.529709999999999962e-05 5.038120000000000098e-03 1.040511999999999941e-05
8.100950000000000858e-03 1.549499999999999988e-05 5.035440000000000402e-03 1.040688000000000055e-05
8.080580000000000401e-03 1.563740000000000041e-05 5.017119999999999913e-03 1.040518999999999922e-05
8.083659999999999457e-03 1.583880000000000156e-05 5.019899999999999883e-03 1.040632000000000034e-05
8.076679999999999277e-03 1.601490000000000145e-05 5.013680000000000393e-03 1.040489999999999926e-05
8.071460000000000787e-03 1.635559999999999973e-05 5.011230000000000198e-03 1.040485999999999985e-05
8.088520000000000085e-03 1.654340000000000156e-05 5.008750000000000181e-03 1.040545999999999947e-05
8.080530000000000698e-03 1.671960000000000167e-05 5.015129999999999588e-03 1.041848999999999958e-05
8.081490000000000201e-03 1.469909999999999958e-05 5.018360000000000355e-03 1.040531999999999984e-05
8.084809999999999566e-03 1.488740000000000081e-05 5.019580000000000049e-03 1.041812999999999981e-05
8.075169999999999570e-03 1.506289999999999939e-05 5.016399999999999852e-03 1.040393999999999987e-05
8.077839999999999326e-03 1.523640000000000035e-05 5.012250000000000212e-03 1.041785999999999956e-05
8.078240000000000420e-03 1.540440000000000112e-05 5.010030000000000386e-03 1.040356999999999940e-05
8.083190000000000514e-03 1.604299999999999869e-05 5.018759999999999714e-03 1.041671999999999943e-05
8.096610000000000612e-03 1.622000000000000056e-05 5.027740000000000160e-03 1.040826999999999954e-05
8.082459999999999645e-03 1.636880000000000157e-05 5.016810000000000019e-03 1.040368000000000031e-05
8.084630000000000635e-03 1.646009999999999848e-05 5.021219999999999850e-03 1.040310000000000040e-05
8.080020000000000258e-03 1.666109999999999876e-05 5.015280000000000432e-03 1.041676000000000053e-05
8.081849999999999798e-03 1.679449999999999989e-05 5.007359999999999763e-03 1.040332999999999955e-05
8.073280000000000386e-03 1.699539999999999994e-05 5.007649999999999775e-03 1.040267999999999982e-05
8.075890000000000499e-03 1.714819999999999957e-05 5.011080000000000222e-03 1.041707999999999920e-05
8.083079999999999432e-03 1.750690000000000004e-05 5.012139999999999998e-03 1.040242999999999927e-05
8.071909999999999849e-03 1.769150000000000163e-05 5.011080000000000222e-03 1.041332000000000045e-05
8.069180000000000449e-03 1.786059999999999972e-05 5.005060000000000411e-03 1.040257999999999960e-05
8.070739999999999859e-03 1.611080000000000167e-05 5.011790000000000342e-03 1.040601999999999969e-05
8.075040000000000343e-03 1.629260000000000051e-05 5.009819999999999898e-03 1.040284999999999985e-05
8.082320000000000476e-03 1.647249999999999856e-05 5.014689999999999599e-03 1.040298999999999948e-05
8.073560000000000458e-03 1.661600000000000151e-05 5.011899999999999689e-03 1.040267999999999982e-05
8.077910000000000645e-03 1.681739999999999928e-05 5.010350000000000220e-03 1.040276999999999934e-05
8.090329999999999744e-03 1.744799999999999964e-05 5.016869999999999663e-03 1.041323999999999993e-05
8.085429999999999354e-03 1.762460000000000063e-05 5.012599999999999868e-03 1.040172000000000042e-05
8.080449999999999439e-03 1.778700000000000097e-05 5.017040000000000388e-03 1.041669999999999973e-05
8.081279999999999714e-03 1.785940000000000048e-05 5.010320000000000398e-03 1.040278000000000003e-05
8.078429999999999292e-03 1.805659999999999920e-05 5.017309999999999652e-03 1.041623000000000073e-05
8.084350000000000563e-03 1.821439999999999962e-05 5.009900000000000291e-03 1.040329000000000014e-05
8.075229999999999214e-03 1.836259999999999932e-05 5.010820000000000031e-03 1.040232000000000004e-05
8.081400000000000736e-03 1.855310000000000029e-05 5.015910000000000160e-03 1.041228999999999954e-05
8.080099999999999782e-03 1.892420000000000086e-05 5.006639999999999702e-03 1.040267000000000081e-05
8.076559999999999989e-03 1.908889999999999947e-05 5.013349999999999751e-03 1.041547000000000008e-05
8.082789999999999420e-03 1.926609999999999838e-05 5.015790000000000005e-03 1.040170999999999972e-05
8.084690000000000279e-03 1.747940000000000073e-05 5.017240000000000068e-03 1.041109999999999930e-05
8.084960000000000410e-03 1.765890000000000130e-05 5.016900000000000352e-03 1.040204999999999979e-05
8.084920000000000648e-03 1.784309999999999862e-05 5.018579999999999916e-03 1.041494000000000027e-05
8.090629999999999697e-03 1.801860000000000058e-05 5.016320000000000327e-03 1.040148999999999958e-05
8.091710000000000222e-03 1.814830000000000037e-05 5.021020000000000170e-03 1.040077000000000003e-05
8.087169999999999428e-03 1.882380000000000094e-05 5.019339999999999739e-03 1.040179000000000024e-05
8.083659999999999457e-03 1.897860000000000156e-05 5.010090000000000030e-03 1.040116000000000021e-05
8.079440000000000233e-03 1.915910000000000093e-05 5.010829999999999972e-03 1.040044000000000066e-05
8.079650000000000720e-03 1.924009999999999897e-05 5.012729999999999964e-03 1.041402999999999929e-05
8.080340000000000092e-03 1.942460000000000034e-05 5.012420000000000070e-03 1.041059999999999990e-05
8.082300000000000595e-03 1.954749999999999877e-05 5.008839999999999647e-03 1.040046000000000037e-05
8.087999999999999703e-03 1.976170000000000089e-05 5.022010000000000363e-03 1.040225000000000023e-05
8.072509999999999755e-03 1.990420000000000164e-05 5.015600000000000266e-03 1.039973000000000012e-05
8.090979999999999353e-03 2.028270000000000149e-05 5.024520000000000201e-03 1.039945999999999987e-05
8.086589999999999404e-03 2.043779999999999938e-05 5.013329999999999870e-03 1.039949999999999928e-05
8.081649999999999251e-03 2.064299999999999870e-05 5.016050000000000196e-03 1.040179999999999924e-05
8.080069999999999961e-03 1.888789999999999919e-05 5.005700000000000080e-03 1.040029999999999934e-05
8.075030000000000402e-03 1.906670000000000161e-05 5.011960000000000200e-03 1.041245000000000057e-05
8.077169999999999836e-03 1.924750000000000164e-05 5.010549999999999900e-03 1.039949000000000027e-05
8.076619999999999633e-03 1.942800000000000101e-05 5.007420000000000274e-03 1.041344999999999938e-05
8.071510000000000490e-03 1.958789999999999926e-05 5.009279999999999636e-03 1.040162999999999921e-05
8.074529999999999902e-03 2.020269999999999887e-05 5.003040000000000265e-03 1.040032000000000074e-05
8.073729999999999449e-03 2.040470000000000134e-05 5.008190000000000038e-03 1.039923000000000072e-05
8.074069999999999164e-03 2.054279999999999922e-05 5.004340000000000351e-03 1.040017999999999942e-05
8.071840000000000265e-03 2.063879999999999965e-05 5.009050000000000134e-03 1.041269000000000042e-05
8.086150000000000282e-03 2.081870000000000110e-05 5.021959999999999792e-03 1.039932000000000024e-05
8.087270000000000569e-03 2.098279999999999839e-05 5.016910000000000293e-03 1.041317000000000012e-05
8.077650000000000455e-03 2.116800000000000130e-05 5.015280000000000432e-03 1.040092999999999937e-05
8.078119999999999398e-03 2.134789999999999935e-05 5.008900000000000158e-03 1.041262999999999961e-05
8.073489999999999139e-03 2.170360000000000003e-05 5.010760000000000387e-03 1.040213999999999931e-05
8.075340000000000296e-03 2.184859999999999949e-05 5.006169999999999891e-03 1.039928999999999984e-05
8.082870000000000679e-03 2.204349999999999994e-05 5.009079999999999956e-03 1.039843999999999967e-05
