8.400000000000000355e+00,-7.638268431769999722e+01,9.935077187310000113e+01
8.400124999999999176e+00,-7.458936422850000270e+01,9.743511711150000565e+01
8.400249999999999773e+00,-7.596250035740000328e+01,1.226719344739999968e+02
8.400375000000000369e+00,-7.783203584630000194e+01,1.031106812619999999e+02
8.400499999999999190e+00,-7.460275246339999455e+01,1.138244166460000031e+02
8.400624999999999787e+00,-7.736193351350000569e+01,1.030796103800000054e+02
8.400750000000000384e+00,-7.596850371979999750e+01,1.295205128439999953e+02
8.400874999999999204e+00,-7.511626490470000306e+01,1.123814744350000012e+02
8.400999999999999801e+00,-7.533850779099999784e+01,9.864975735970000414e+01
8.401125000000000398e+00,-7.936729117589999305e+01,1.084421087540000030e+02
8.401249999999999218e+00,-7.458797005200000285e+01,1.118491078549999997e+02
8.401374999999999815e+00,-7.548377020920000291e+01,9.531836107070000708e+01
8.401500000000000412e+00,-7.428741422519999560e+01,9.914289637999999627e+01
8.401624999999999233e+00,-7.575618437849999509e+01,1.043821760719999929e+02
8.401749999999999829e+00,-7.576920573499999989e+01,1.046858335889999978e+02
8.401875000000000426e+00,-7.642604649870000344e+01,9.836110820429999535e+01
8.401999999999999247e+00,-7.564590885440000534e+01,1.028152365579999952e+02
8.402124999999999844e+00,-7.351633887740000262e+01,1.056118656689999966e+02
8.402250000000000441e+00,-8.038114735630000496e+01,1.051647715630000022e+02
8.402374999999999261e+00,-7.643878668819999689e+01,1.130123948159999969e+02
8.402499999999999858e+00,-7.606619361779999622e+01,9.939373596699999780e+01
8.402625000000000455e+00,-7.756083265489999690e+01,1.094122057219999959e+02
8.402749999999999275e+00,-7.562639220200000523e+01,1.049517153649999983e+02
8.402874999999999872e+00,-7.637060809400000494e+01,9.962001339629999563e+01
8.403000000000000469e+00,-7.407912026329999833e+01,1.099373877099999959e+02
8.403124999999999289e+00,-7.721024472860000287e+01,1.207089751470000039e+02
8.403249999999999886e+00,-7.486987031840000384e+01,1.140381934610000059e+02
8.403375000000000483e+00,-7.430307819450000295e+01,9.814505190090000042e+01
8.403499999999999304e+00,-7.407085043989999917e+01,1.037091177979999941e+02
8.403624999999999901e+00,-7.386046833609999851e+01,1.131241852999999935e+02
8.403750000000000497e+00,-7.434356227460000355e+01,9.324772843949999412e+01
8.403874999999999318e+00,-7.810460199019999550e+01,1.095928632659999948e+02
8.403999999999999915e+00,-7.499458185279999611e+01,1.019052686699999981e+02
8.404125000000000512e+00,-7.583432229800000357e+01,1.160673438769999990e+02
8.404249999999999332e+00,-7.547021687080000163e+01,1.024341980890000059e+02
8.404374999999999929e+00,-7.464557441190000020e+01,8.888694839170000250e+01
8.404500000000000526e+00,-7.449444452630000058e+01,1.221153593439999980e+02
8.404624999999999346e+00,-7.324737517609999315e+01,1.061273871709999952e+02
8.404749999999999943e+00,-7.810185089269999992e+01,1.017229873269999985e+02
8.404875000000000540e+00,-7.416271938270000419e+01,1.002276109350000013e+02
8.404999999999999361e+00,-7.506946537620000015e+01,1.012067345269999947e+02
8.405124999999999957e+00,-7.606301160740000000e+01,1.040307199429999940e+02
8.405250000000000554e+00,-7.603374570169999913e+01,9.779786149849999788e+01
8.405374999999999375e+00,-7.510226259050000408e+01,1.127964380709999972e+02
8.405499999999999972e+00,-7.496978299709999760e+01,6.874812253679999685e+01
8.405625000000000568e+00,-7.425407238750000261e+01,9.815997026150000693e+01
8.405749999999999389e+00,-7.629687495589999457e+01,1.044955074519999982e+02
8.405874999999999986e+00,-7.650674246949999713e+01,9.960335570760000223e+01
8.406000000000000583e+00,-7.577123861020000106e+01,9.979228315349999434e+01
8.406124999999999403e+00,-7.327865165779999757e+01,1.016154821300000037e+02
8.406250000000000000e+00,-7.438542287139999587e+01,9.308464087389999975e+01
8.406375000000000597e+00,-7.476211564019999400e+01,9.011057940230000440e+01
8.406499999999999417e+00,-7.617793803019999643e+01,1.026010145200000068e+02
8.406625000000000014e+00,-7.501141689569999471e+01,1.040876524549999971e+02
8.406750000000000611e+00,-7.628355819009999550e+01,1.167577508100000045e+02
8.406874999999999432e+00,-7.495485373799999707e+01,1.042498839900000007e+02
8.407000000000000028e+00,-7.511020296009999697e+01,1.058862091160000034e+02
8.407125000000000625e+00,-7.562961700069999438e+01,1.072608246580000042e+02
8.407249999999999446e+00,-7.394602514759999679e+01,1.074598962310000019e+02
8.407375000000000043e+00,-7.887014616300000114e+01,8.833747712139999919e+01
8.407500000000000639e+00,-7.550450270960000410e+01,1.004648607630000043e+02
8.407624999999999460e+00,-7.650130431009999654e+01,1.023025005270000065e+02
8.407750000000000057e+00,-7.601126018159999376e+01,9.998797199610000064e+01
8.407875000000000654e+00,-7.441200754240000492e+01,1.027454300349999983e+02
8.407999999999999474e+00,-7.608291764550000380e+01,1.066835826559999987e+02
8.408125000000000071e+00,-7.349876894880000577e+01,9.715166340579999371e+01
8.408250000000000668e+00,-7.506614347549999877e+01,8.779931324480000399e+01
8.408374999999999488e+00,-7.732396632379999346e+01,9.484049048679999316e+01
8.408500000000000085e+00,-7.383587339810000572e+01,1.001144062519999949e+02
8.408625000000000682e+00,-8.147349093139999354e+01,1.008155296289999967e+02
8.408749999999999503e+00,-7.363190149170000609e+01,9.802423362330000600e+01
8.408875000000000099e+00,-7.302153456070000459e+01,1.064053529490000045e+02
8.409000000000000696e+00,-7.421095957110000541e+01,1.099242205710000064e+02
8.409124999999999517e+00,-7.497820977199999959e+01,1.094629417449999949e+02
8.409250000000000114e+00,-7.960500835189999691e+01,1.216876246310000056e+02
8.409375000000000711e+00,-7.664010613889999490e+01,1.080222622269999988e+02
8.409499999999999531e+00,-7.783016904549999992e+01,1.064006220809999945e+02
8.409625000000000128e+00,-7.924991962779999710e+01,1.244551496459999953e+02
8.409750000000000725e+00,-7.734749621570000500e+01,1.253461323460000045e+02
8.409874999999999545e+00,-7.534223556880000672e+01,1.080341237490000026e+02
8.410000000000000142e+00,-7.731910583120000524e+01,1.061393409890000044e+02
8.410125000000000739e+00,-7.404221506269999509e+01,1.024899492180000067e+02
8.410249999999999559e+00,-7.617940479169999435e+01,1.223489871710000045e+02
8.410375000000000156e+00,-7.682182537529999422e+01,9.914075230950000162e+01
8.410500000000000753e+00,-7.460664453200000423e+01,1.016205871340000044e+02
8.410624999999999574e+00,-7.554427813510000078e+01,9.603589242089999800e+01
8.410750000000000171e+00,-7.671752830719999849e+01,9.961205723029999604e+01
8.410875000000000767e+00,-7.738833747610000557e+01,9.004653592370000581e+01
8.410999999999999588e+00,-7.464953032120000387e+01,9.127696296850000124e+01
8.411125000000000185e+00,-7.448283275180000373e+01,1.097057210560000016e+02
8.411250000000000782e+00,-7.750138790149999579e+01,1.129398604419999970e+02
8.411374999999999602e+00,-7.883897657500000378e+01,1.016043384569999972e+02
8.411500000000000199e+00,-7.507967706210000358e+01,1.080484895860000023e+02
8.411625000000000796e+00,-7.575706998409999926e+01,9.988813447219999375e+01
8.411749999999999616e+00,-7.706344029080000269e+01,1.132979989380000063e+02
8.411875000000000213e+00,-7.535648037869999882e+01,1.176360800359999956e+02
