8.400000000000000355e+00,2.052095025452516097e-02
8.400124999999999176e+00,2.169605240360539256e-02
8.400249999999999773e+00,2.327437319883429723e-02
8.400375000000000369e+00,2.492961270209725910e-02
8.400499999999999190e+00,2.521387697928290095e-02
8.400624999999999787e+00,2.697049590966926758e-02
8.400750000000000384e+00,2.859135263578949093e-02
8.400874999999999204e+00,2.937596161350519708e-02
8.400999999999999801e+00,3.214518350737982644e-02
8.401125000000000398e+00,3.306282419775996573e-02
8.401249999999999218e+00,3.479972674918840880e-02
8.401374999999999815e+00,3.584556429493446217e-02
8.401500000000000412e+00,3.766464902379773605e-02
8.401624999999999233e+00,4.021657974877257402e-02
8.401749999999999829e+00,4.122352914204974184e-02
8.401875000000000426e+00,4.278771145229853801e-02
8.401999999999999247e+00,4.452245068378601900e-02
8.402124999999999844e+00,4.609998285154581765e-02
8.402250000000000441e+00,4.790482801831963400e-02
8.402374999999999261e+00,5.048181365285842048e-02
8.402499999999999858e+00,5.186557096348209939e-02
8.402625000000000455e+00,5.352279233255075042e-02
8.402749999999999275e+00,5.579166372134913843e-02
8.402874999999999872e+00,5.808988554911209690e-02
8.403000000000000469e+00,5.844600402168964592e-02
8.403124999999999289e+00,6.126406639940462640e-02
8.403249999999999886e+00,6.295832493757558268e-02
8.403375000000000483e+00,6.488402986521002447e-02
8.403499999999999304e+00,6.709935699137759002e-02
8.403624999999999901e+00,6.849071059220790403e-02
8.403750000000000497e+00,7.121473429542746203e-02
8.403874999999999318e+00,7.255843448939991447e-02
8.403999999999999915e+00,7.513428627207829891e-02
8.404125000000000512e+00,7.666025870527448660e-02
8.404249999999999332e+00,7.849164781162798477e-02
8.404374999999999929e+00,8.099140839969010131e-02
8.404500000000000526e+00,8.214571940241377490e-02
8.404624999999999346e+00,8.343649814655051955e-02
8.404749999999999943e+00,8.590914295826301839e-02
8.404875000000000540e+00,8.763773339038749555e-02
8.404999999999999361e+00,8.930703033878373276e-02
8.405124999999999957e+00,9.192517813315781439e-02
8.405250000000000554e+00,9.388200866787066445e-02
8.405374999999999375e+00,9.561241966015465721e-02
8.405499999999999972e+00,9.705738707127053999e-02
8.405625000000000568e+00,9.925191349612560998e-02
8.405749999999999389e+00,1.012854664389148951e-01
8.405874999999999986e+00,1.024500691303504851e-01
8.406000000000000583e+00,1.038834055121817812e-01
8.406124999999999403e+00,1.057718341165809761e-01
8.406250000000000000e+00,1.067792544261525478e-01
8.406375000000000597e+00,1.089635895603748850e-01
8.406499999999999417e+00,1.108779833061692699e-01
8.406625000000000014e+00,1.129114929684895685e-01
8.406750000000000611e+00,1.139925117069378047e-01
8.406874999999999432e+00,1.156809403662162339e-01
8.407000000000000028e+00,1.168331222564695793e-01
8.407125000000000625e+00,1.190433611397523350e-01
8.407249999999999446e+00,1.206409620505421998e-01
8.407375000000000043e+00,1.217073187865800321e-01
8.407500000000000639e+00,1.240915998964915445e-01
8.407624999999999460e+00,1.236686928322594525e-01
8.407750000000000057e+00,1.256784294530426394e-01
8.407875000000000654e+00,1.271816950670920932e-01
8.407999999999999474e+00,1.276381959899435259e-01
8.408125000000000071e+00,1.296552404056843244e-01
8.408250000000000668e+00,1.306776016182897848e-01
8.408374999999999488e+00,1.320334306913775180e-01
8.408500000000000085e+00,1.327632096734880918e-01
8.408625000000000682e+00,1.347950529061545666e-01
8.408749999999999503e+00,1.353114425832995238e-01
8.408875000000000099e+00,1.365101810693722939e-01
8.409000000000000696e+00,1.370835690037992549e-01
8.409124999999999517e+00,1.392612494804712497e-01
8.409250000000000114e+00,1.385584694200101552e-01
8.409375000000000711e+00,1.392287272927124064e-01
8.409499999999999531e+00,1.404892089710969572e-01
8.409625000000000128e+00,1.402921072001213076e-01
8.409750000000000725e+00,1.432389366733204383e-01
8.409874999999999545e+00,1.429783649740130613e-01
8.410000000000000142e+00,1.434841659099355127e-01
8.410125000000000739e+00,1.441577586600040206e-01
