 02-04-18,00:00:00,5.084260E+0
 02-04-18,00:01:00,5.088470E+0
 02-04-18,00:02:00,5.093790E+0
 02-04-18,00:03:00,5.096640E+0
 02-04-18,00:04:01,5.099460E+0
 02-04-18,00:05:01,5.103270E+0
 02-04-18,00:06:01,5.105640E+0
 02-04-18,00:07:01,5.108480E+0
 02-04-18,00:08:01,5.110730E+0
 02-04-18,00:09:01,5.109460E+0
 02-04-18,00:10:01,5.107590E+0
 02-04-18,00:11:02,5.103900E+0
 02-04-18,00:12:02,5.101750E+0
 02-04-18,00:13:02,5.099840E+0
 02-04-18,00:14:02,5.097740E+0
 02-04-18,00:15:02,5.093240E+0
 02-04-18,00:16:02,5.093290E+0
 02-04-18,00:17:02,5.092970E+0
 02-04-18,00:18:02,5.090350E+0
 02-04-18,00:19:03,5.089670E+0
 02-04-18,00:20:03,5.089170E+0
 02-04-18,00:21:03,5.088130E+0
 02-04-18,00:22:03,5.087850E+0
 02-04-18,00:23:03,5.088320E+0
 02-04-18,00:24:03,5.090290E+0
 02-04-18,00:25:04,5.090280E+0
 02-04-18,00:26:04,5.090340E+0
 02-04-18,00:27:04,5.090830E+0
 02-04-18,00:28:04,5.091500E+0
 02-04-18,00:29:04,5.092090E+0
 02-04-18,00:30:05,5.092500E+0
 02-04-18,00:31:05,5.093360E+0
 02-04-18,00:32:05,5.093640E+0
 02-04-18,00:33:05,5.093560E+0
 02-04-18,00:34:05,5.095560E+0
 02-04-18,00:35:05,5.095900E+0
 02-04-18,00:36:05,5.097080E+0
 02-04-18,00:37:05,5.099570E+0
 02-04-18,00:38:06,5.101130E+0
 02-04-18,00:39:06,5.101480E+0
 02-04-18,00:40:06,5.102100E+0
 02-04-18,00:41:06,5.106220E+0
 02-04-18,00:42:06,5.107910E+0
 02-04-18,00:43:06,5.109980E+0
 02-04-18,00:44:06,5.113570E+0
 02-04-18,00:45:06,5.115750E+0
 02-04-18,00:46:06,5.117510E+0
 02-04-18,00:47:06,5.125190E+0
 02-04-18,00:48:07,5.131280E+0
 02-04-18,00:49:07,5.137310E+0
 02-04-18,00:50:07,5.147160E+0
